Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Card_Type,Card_Age,Authentication_Method,Risk_Score,Is_Weekend,Transaction_Month,Transaction_Day,Transaction_Hour,Transaction_DayOfWeek,Failed_Transaction_Rate,Transaction_Ratio
Online,92162.13,Tablet,Mumbai,Travel,Mastercard,194.0,PIN,0.2778,0,7,31,16,0,2.0,0.6912892442813136
Online,71216.98,Tablet,New York,Restaurants,Visa,220.0,OTP,0.1217,1,1,28,18,5,0.0,0.2951667370198396
ATM Withdrawal,67040.3,Laptop,Tokyo,Travel,Amex,42.0,Password,0.0345,0,1,27,11,4,0.09090909090909091,0.30909619556708634
Bank Transfer,8041.5,Mobile,Mumbai,Electronics,Mastercard,29.0,Biometric,0.0915,0,8,16,1,2,0.0,0.39139225302772496
Bank Transfer,32630.31,Mobile,London,Groceries,Discover,138.0,PIN,0.8978,0,12,7,1,3,0.0,0.06833005989185519
Online,49315.91,Tablet,London,Electronics,Mastercard,31.0,PIN,0.7101,0,8,23,6,2,0.1,0.9462845671962068
POS,40236.17,Mobile,Tokyo,Travel,Discover,118.0,Password,0.3754,0,8,17,14,3,0.21428571428571427,0.1798492052057821
Online,54001.93,Tablet,Tokyo,Electronics,Mastercard,71.0,Password,0.9375,0,3,2,3,3,0.0,0.4396668167492121
Online,98522.11,Tablet,Tokyo,Electronics,Discover,65.0,OTP,0.4794,0,9,25,0,0,0.0,0.5888501742160278
ATM Withdrawal,56831.51,Laptop,Sydney,Groceries,Amex,149.0,Biometric,0.4695,0,9,6,5,2,0.0,0.07418571366613176
Bank Transfer,85972.04,Laptop,New York,Electronics,Discover,188.0,Password,0.9785,0,7,4,2,1,0.07692307692307693,1.672872788542544
Online,92978.57,Tablet,Sydney,Travel,Mastercard,83.0,Password,0.8314,0,12,7,23,3,0.2222222222222222,4.459366391184573
ATM Withdrawal,16486.83,Tablet,Mumbai,Groceries,Visa,219.0,OTP,0.41,0,10,2,20,0,1.0,0.198193497896762
POS,72399.23,Tablet,Tokyo,Clothing,Mastercard,34.0,OTP,0.7139,0,9,22,9,4,0.23076923076923078,0.027396633735821446
Online,2419.48,Tablet,New York,Restaurants,Visa,124.0,Password,0.3261,0,9,27,23,2,0.1,0.15642203921925477
POS,52396.88,Mobile,New York,Travel,Discover,236.0,Biometric,0.259,0,12,22,10,4,0.36363636363636365,0.011770031688546853
Bank Transfer,84076.94,Tablet,London,Restaurants,Discover,60.0,Password,0.9263,0,9,18,3,0,0.21428571428571427,0.11933555740895192
Bank Transfer,57149.25,Laptop,New York,Restaurants,Discover,28.0,PIN,0.0638,0,3,31,3,4,0.0,0.004856124399442063
ATM Withdrawal,45397.15,Tablet,New York,Groceries,Visa,114.0,PIN,0.3504,0,3,29,18,2,0.0,3.1096791162546027
Bank Transfer,89264.35,Laptop,New York,Electronics,Discover,195.0,Biometric,0.3731,0,12,22,0,4,1.0,4.1341093117408905
POS,63040.73,Laptop,London,Restaurants,Amex,236.0,Password,0.3824,0,11,10,10,4,0.1111111111111111,5.6485091743119265
ATM Withdrawal,61884.29,Tablet,Sydney,Travel,Discover,64.0,Biometric,0.3664,1,12,3,19,6,0.0,0.04550808437734233
ATM Withdrawal,49988.44,Tablet,London,Restaurants,Mastercard,68.0,OTP,0.505,0,11,16,6,3,0.2727272727272727,0.12678373448732164
Online,12747.21,Tablet,London,Groceries,Visa,210.0,Biometric,0.1151,1,10,15,12,6,0.42857142857142855,0.016219214555136453
ATM Withdrawal,59284.5,Tablet,London,Clothing,Discover,235.0,Biometric,0.2207,0,1,17,19,1,0.0,10.277244494635799
ATM Withdrawal,61431.63,Mobile,Tokyo,Travel,Mastercard,227.0,OTP,0.5672,0,6,20,14,1,0.16666666666666666,0.8013635215890917
ATM Withdrawal,56293.57,Mobile,Sydney,Groceries,Visa,44.0,Biometric,0.3267,1,12,3,7,6,0.0,0.1474652633173059
ATM Withdrawal,14520.44,Laptop,London,Groceries,Amex,227.0,OTP,0.6415,0,8,10,16,3,0.4,0.4529786810121538
Online,64447.58,Laptop,Sydney,Electronics,Amex,16.0,Password,0.8673,0,12,6,11,2,0.0,0.5477361794380055
POS,22306.78,Mobile,Tokyo,Clothing,Amex,8.0,Biometric,0.9476,0,2,24,4,4,0.0,0.27651515151515155
POS,41877.03,Laptop,New York,Groceries,Discover,115.0,Password,0.1811,0,10,30,15,0,0.5,0.37760487348834404
POS,75259.34,Mobile,London,Travel,Discover,45.0,Biometric,0.8339,0,9,26,16,1,0.09090909090909091,0.2642492917847026
Online,1982.69,Laptop,London,Clothing,Amex,228.0,PIN,0.1841,0,8,3,3,3,0.2857142857142857,0.15432240791482776
Bank Transfer,20049.57,Mobile,New York,Travel,Visa,21.0,OTP,0.3492,0,11,13,18,0,1.3333333333333333,0.01112818479230693
POS,98414.7,Laptop,London,Groceries,Amex,99.0,Password,0.8431,0,2,17,0,4,0.0,0.6248943270300333
ATM Withdrawal,58534.87,Mobile,New York,Travel,Visa,56.0,OTP,0.5647,0,5,8,17,0,1.3333333333333333,1.7796864576384255
Bank Transfer,34403.44,Tablet,London,Electronics,Visa,98.0,PIN,0.0201,1,6,25,19,6,0.25,0.6406197748300079
ATM Withdrawal,62048.62,Mobile,New York,Restaurants,Visa,18.0,OTP,0.0687,1,3,4,3,5,0.75,0.6883889018419213
Online,4478.38,Tablet,New York,Groceries,Visa,107.0,Password,0.2603,1,6,24,3,5,0.14285714285714285,0.028422152560083593
Bank Transfer,43830.07,Laptop,New York,Electronics,Visa,128.0,OTP,0.8654,0,8,16,3,2,1.0,1.2002273323423975
Online,18725.24,Mobile,Mumbai,Groceries,Discover,229.0,PIN,0.0459,0,5,11,1,3,0.5,0.037774584274276324
ATM Withdrawal,21101.1,Tablet,London,Travel,Visa,120.0,Password,0.6723,0,10,24,14,1,0.3333333333333333,0.18195811913682436
POS,58633.02,Laptop,New York,Travel,Amex,6.0,OTP,0.6625,1,2,25,23,5,0.3333333333333333,0.12804101019462466
POS,96658.22,Mobile,Mumbai,Groceries,Visa,38.0,OTP,0.0729,0,9,6,5,2,0.6666666666666666,0.14803315424282512
POS,33236.66,Tablet,Sydney,Clothing,Amex,7.0,OTP,0.2085,0,5,30,20,1,0.0,0.30061121049493145
Online,43340.23,Mobile,New York,Clothing,Discover,139.0,OTP,0.2293,0,5,19,22,4,0.0,0.6982905982905984
POS,8825.34,Laptop,Sydney,Electronics,Mastercard,12.0,Password,0.6707,0,3,10,1,4,1.3333333333333333,0.16544051677731925
POS,50208.67,Laptop,New York,Restaurants,Amex,84.0,PIN,0.1696,0,9,14,18,3,0.8,1.1875440894890659
Online,84724.69,Laptop,Mumbai,Restaurants,Mastercard,186.0,PIN,0.7467,1,10,15,17,6,0.14285714285714285,1.1765563493220585
Online,31783.23,Laptop,Tokyo,Travel,Visa,110.0,OTP,0.142,0,8,11,11,5,0.3333333333333333,1.747046186895811
POS,70091.85,Laptop,Tokyo,Restaurants,Mastercard,28.0,PIN,0.0282,0,3,7,18,1,0.2727272727272727,0.006738131699846861
Bank Transfer,98643.23,Mobile,New York,Groceries,Discover,188.0,Biometric,0.2709,0,5,19,8,4,0.0,0.49488669180851425
Online,13402.88,Tablet,Sydney,Restaurants,Visa,228.0,Biometric,0.2698,0,3,28,19,1,2.0,1.0026490574730296
ATM Withdrawal,99717.83,Tablet,Mumbai,Groceries,Visa,105.0,Biometric,0.9651,0,11,22,6,2,0.0,0.8823372180049183
POS,56907.55,Mobile,Tokyo,Groceries,Amex,219.0,Biometric,0.4056,0,8,25,4,4,0.16666666666666666,0.21954265949269794
Bank Transfer,9079.27,Laptop,New York,Restaurants,Discover,106.0,Password,0.6859,1,1,28,16,5,1.0,0.7970362724859924
Bank Transfer,56839.24,Laptop,Tokyo,Restaurants,Discover,187.0,OTP,0.1188,0,12,25,16,0,0.4444444444444444,0.7190267230732847
Bank Transfer,22347.77,Tablet,London,Clothing,Mastercard,162.0,OTP,0.3576,0,8,11,1,4,0.6,0.224953019639633
Bank Transfer,66523.01,Mobile,Sydney,Restaurants,Visa,109.0,Password,0.4997,0,5,2,7,1,0.3333333333333333,0.4758506722752197
ATM Withdrawal,71775.66,Tablet,Tokyo,Groceries,Discover,83.0,PIN,0.684,1,7,22,6,5,1.0,0.23544686751544183
ATM Withdrawal,40605.71,Laptop,London,Restaurants,Discover,224.0,Password,0.1287,1,7,1,19,5,0.0,0.35054229934924075
ATM Withdrawal,76399.16,Mobile,Mumbai,Electronics,Amex,232.0,OTP,0.4506,0,7,28,0,4,0.07692307692307693,0.5832265551338153
Bank Transfer,14533.89,Tablet,New York,Travel,Discover,73.0,PIN,0.776,0,8,29,4,1,0.07142857142857142,0.2384904864066402
Online,80431.05,Laptop,Sydney,Groceries,Visa,228.0,OTP,0.6715,0,9,22,7,4,0.42857142857142855,0.056393879842784954
POS,48974.28,Laptop,London,Clothing,Amex,61.0,Password,0.3349,1,5,28,5,6,0.5,0.46245299041611054
POS,99701.99,Laptop,New York,Travel,Amex,15.0,Password,0.5562,0,1,13,11,4,0.8,0.3037368252954328
ATM Withdrawal,92930.51,Tablet,Tokyo,Electronics,Mastercard,234.0,Password,0.7178,0,6,14,22,2,0.5,0.20043572984749455
ATM Withdrawal,9840.34,Laptop,Tokyo,Electronics,Mastercard,58.0,PIN,0.494,0,4,12,8,2,0.5,0.10154134555300978
ATM Withdrawal,38014.27,Tablet,Tokyo,Groceries,Mastercard,117.0,Password,0.5865,1,10,22,22,6,0.07692307692307693,0.6099760090690992
ATM Withdrawal,19629.0,Mobile,Sydney,Groceries,Mastercard,88.0,PIN,0.3522,0,5,31,12,2,0.16666666666666666,0.4571666204602162
Online,97916.93,Tablet,Mumbai,Travel,Discover,121.0,PIN,0.1624,1,11,18,17,5,3.0,5.926347971095053
Online,87159.04,Mobile,Mumbai,Clothing,Discover,161.0,Biometric,0.3684,1,7,8,8,5,0.1111111111111111,0.15677910486940544
Online,21936.65,Mobile,Tokyo,Clothing,Visa,157.0,Password,0.5351,0,12,15,4,4,4.0,0.15234504474643687
ATM Withdrawal,69516.85,Tablet,Mumbai,Electronics,Visa,73.0,Biometric,0.8688,0,5,26,18,4,0.0,0.9998924152770307
ATM Withdrawal,45016.45,Tablet,Sydney,Groceries,Visa,52.0,Biometric,0.2429,1,1,15,19,6,4.0,0.3736654804270463
Online,49208.39,Mobile,New York,Clothing,Mastercard,93.0,Biometric,0.6672,0,1,27,16,4,0.0,0.47760409825298833
POS,63005.13,Laptop,Sydney,Electronics,Mastercard,65.0,Password,0.783,0,12,4,16,0,1.0,5.253103303176941
Bank Transfer,10936.85,Laptop,Tokyo,Restaurants,Discover,28.0,OTP,0.2899,0,3,31,7,4,2.0,0.7486119314825752
Online,54454.86,Mobile,London,Restaurants,Discover,105.0,Biometric,0.0995,1,7,16,5,6,0.1111111111111111,0.7352718373055183
POS,63749.98,Mobile,London,Travel,Visa,133.0,OTP,0.7881,0,8,11,11,5,0.0,0.34548876602752615
Online,87636.69,Mobile,Tokyo,Travel,Amex,51.0,PIN,0.8151,0,12,8,22,4,0.0,0.0992739898989899
Bank Transfer,39609.91,Mobile,Tokyo,Electronics,Amex,155.0,OTP,0.2035,1,2,18,22,5,0.0,0.5385694249649369
Bank Transfer,99958.18,Mobile,Mumbai,Groceries,Visa,209.0,OTP,0.4473,0,12,21,13,3,0.125,0.4544998536972788
Online,72030.21,Tablet,Mumbai,Restaurants,Amex,77.0,OTP,0.4355,1,7,1,14,5,0.0,0.9556600604635539
POS,23596.28,Tablet,Tokyo,Groceries,Visa,202.0,PIN,0.4487,0,5,2,8,1,0.5,0.4497807387417777
Online,90951.88,Mobile,New York,Restaurants,Mastercard,46.0,Biometric,0.0254,1,1,7,3,5,0.1111111111111111,0.14726434730895033
Online,690.02,Mobile,New York,Restaurants,Mastercard,162.0,Password,0.4382,0,5,30,6,1,0.0,0.312989650836638
POS,57651.09,Tablet,Mumbai,Travel,Visa,58.0,Biometric,0.546,0,2,23,21,3,0.6,1.4568716962998558
ATM Withdrawal,64408.3,Mobile,London,Groceries,Mastercard,238.0,OTP,0.1828,0,8,11,11,5,0.14285714285714285,0.13799317147192716
Bank Transfer,91713.0,Tablet,Sydney,Groceries,Discover,59.0,PIN,0.1283,0,7,11,2,1,0.42857142857142855,0.15887635756056806
Online,90695.08,Tablet,Tokyo,Travel,Mastercard,40.0,PIN,0.4758,1,6,25,13,6,0.75,0.015153970826580229
Bank Transfer,85877.99,Laptop,Tokyo,Travel,Amex,74.0,OTP,0.9378,0,7,10,10,0,0.1111111111111111,0.4004269594388533
POS,79368.37,Mobile,Tokyo,Clothing,Amex,113.0,OTP,0.7969,0,4,4,1,1,0.09090909090909091,0.10062492536719342
Online,55977.99,Tablet,London,Clothing,Amex,169.0,Password,0.2106,0,12,20,22,2,0.375,3.0682829181494657
ATM Withdrawal,55747.73,Tablet,Sydney,Groceries,Visa,42.0,OTP,0.4475,1,10,28,20,5,0.125,0.07489448778616192
ATM Withdrawal,95817.59,Mobile,Mumbai,Groceries,Discover,226.0,PIN,0.8608,0,4,25,9,1,0.375,0.08127746979702719
Online,5364.6,Tablet,Mumbai,Clothing,Visa,65.0,PIN,0.3984,0,8,30,11,2,0.2,1.4146685472496472
Online,11851.07,Laptop,Mumbai,Clothing,Amex,213.0,Biometric,0.5679,0,1,3,12,1,0.375,0.2054757015742642
Online,34535.13,Tablet,Tokyo,Groceries,Mastercard,103.0,Password,0.646,0,8,3,13,3,0.2,0.021971909331108333
ATM Withdrawal,50229.24,Tablet,New York,Travel,Visa,131.0,Biometric,0.3196,0,1,10,4,1,0.5714285714285714,0.03705411168097735
Online,45573.23,Laptop,New York,Restaurants,Mastercard,186.0,Password,0.1729,1,8,19,17,5,0.5,0.11240942463649889
Online,42420.43,Laptop,Tokyo,Electronics,Visa,21.0,Biometric,0.0348,1,10,29,14,6,0.4444444444444444,0.006061216270640353
Bank Transfer,59233.22,Mobile,Mumbai,Clothing,Visa,119.0,Biometric,0.3201,0,2,27,13,0,0.0,0.24638970638559987
POS,53369.02,Tablet,Mumbai,Clothing,Amex,54.0,PIN,0.7511,0,12,11,11,0,0.3333333333333333,0.08874815166141227
ATM Withdrawal,58923.49,Tablet,unknown,Travel,Amex,19.0,Biometric,0.4687,0,9,20,4,2,0.25,0.3037401404177862
Bank Transfer,74337.06,Tablet,London,Electronics,Discover,178.0,Password,0.6873,0,1,23,5,0,0.21428571428571427,1.1249573621375781
ATM Withdrawal,40438.4,Mobile,Tokyo,Restaurants,Mastercard,206.0,OTP,0.5821,1,9,10,7,6,0.75,0.020739064856711915
Online,73927.32,Mobile,Sydney,Clothing,Mastercard,180.0,Biometric,0.095,0,1,16,9,0,0.375,0.32769766285430135
ATM Withdrawal,67847.33,Mobile,Sydney,Travel,Discover,74.0,Biometric,0.3076,1,7,1,19,5,0.0,0.21244578540448802
Online,47239.7,Tablet,London,Travel,Discover,115.0,Password,0.5781,0,8,11,11,5,0.07692307692307693,0.5296565686862628
Online,47365.24,Mobile,Sydney,Groceries,Mastercard,20.0,Biometric,0.2784,0,2,17,10,4,0.5,1.111565797975447
Bank Transfer,84345.22,Laptop,Mumbai,Electronics,Visa,144.0,Biometric,0.8349,0,8,21,12,0,0.25,2.530064754856614
POS,41522.65,Laptop,New York,Groceries,Visa,140.0,Biometric,0.0131,0,1,26,1,3,0.0,0.4463332190270906
ATM Withdrawal,88823.96,Mobile,Sydney,Travel,Visa,95.0,Password,0.2272,1,9,17,16,6,1.0,0.14518015910154422
Bank Transfer,21560.87,Laptop,Sydney,Clothing,Mastercard,87.0,Biometric,0.127,0,2,7,21,1,0.5,0.0028932814420319537
POS,63211.33,Laptop,Sydney,Travel,Discover,175.0,OTP,0.7799,0,8,3,14,3,0.5,0.13755680521259156
Online,78489.55,Tablet,New York,Clothing,Mastercard,32.0,OTP,0.8894,1,1,22,5,6,0.23076923076923078,0.19013398294762482
Online,30709.59,Tablet,Sydney,Restaurants,Mastercard,48.0,Biometric,0.5525,1,12,3,14,6,0.0,10.156829679595278
POS,83198.66,Mobile,London,Restaurants,Amex,151.0,Password,0.3344,0,4,4,22,1,0.1,2.5421235624498526
POS,34041.04,Tablet,Sydney,Restaurants,Discover,12.0,Biometric,0.0717,1,6,3,3,5,0.5,0.21637728765837635
ATM Withdrawal,25820.33,Tablet,Sydney,Restaurants,Mastercard,1.0,PIN,0.068,1,12,10,7,6,1.0,0.4309731364525885
ATM Withdrawal,53273.87,Laptop,Mumbai,Electronics,Mastercard,112.0,Biometric,0.0667,1,3,19,13,6,0.375,0.2699090517152888
POS,44947.63,Mobile,Tokyo,Electronics,Visa,120.0,Biometric,0.4834,1,11,5,2,6,0.3333333333333333,2.7647395535203207
POS,64591.34,Laptop,Tokyo,Electronics,Amex,89.0,Biometric,0.7004,1,3,11,20,5,0.3333333333333333,0.5104881491215263
POS,44184.11,Tablet,Tokyo,Clothing,Amex,130.0,OTP,0.4445,0,10,31,0,1,0.125,0.18757430092520805
POS,34692.06,Mobile,Sydney,Travel,Mastercard,81.0,OTP,0.3785,0,3,7,0,1,0.0,0.16815338490580004
Bank Transfer,90741.04,Tablet,London,Restaurants,Mastercard,222.0,OTP,0.3768,0,9,21,6,3,0.36363636363636365,0.39430555091959013
Online,66712.93,Laptop,London,Clothing,Mastercard,34.0,Biometric,0.3082,0,11,16,6,3,0.8,0.030097866892346416
Online,58608.78,Tablet,Mumbai,Restaurants,Amex,125.0,PIN,0.0394,0,10,2,16,0,0.3333333333333333,0.13497803002563163
Bank Transfer,67309.18,Laptop,New York,Clothing,Mastercard,51.0,Biometric,0.2505,0,2,6,18,0,0.14285714285714285,0.11933763819587125
Online,1519.39,Mobile,Mumbai,Groceries,Mastercard,109.0,Password,0.4961,0,11,2,22,3,0.14285714285714285,0.28478115230013396
Online,58753.59,Laptop,Sydney,Groceries,Mastercard,5.0,PIN,0.6144,0,11,1,0,2,0.2727272727272727,0.5475558092060495
Bank Transfer,72707.33,Mobile,Mumbai,Travel,Discover,219.0,Password,0.2469,1,5,6,2,5,2.0,0.9138544161405038
Online,13037.45,Tablet,Sydney,Restaurants,Visa,40.0,Password,0.3083,1,10,28,2,5,0.07142857142857142,0.28950676061702535
Online,98914.77,Laptop,Sydney,Groceries,Amex,17.0,Password,0.7156,0,8,11,7,4,0.0,0.3380475535095629
Online,61525.77,Laptop,Sydney,Restaurants,Mastercard,176.0,Biometric,0.8577,1,9,17,16,6,0.0,0.09815024537561345
POS,47056.11,Mobile,London,Travel,Mastercard,8.0,PIN,0.2574,1,5,14,21,6,0.5,0.46373729476153247
ATM Withdrawal,19717.35,Tablet,Tokyo,Groceries,Visa,198.0,Biometric,0.5304,1,5,7,19,6,0.0,0.16049817882739983
POS,24519.97,Tablet,Tokyo,Travel,Mastercard,122.0,OTP,0.0828,0,6,1,0,3,0.6,2.376685170499604
Bank Transfer,7027.48,Mobile,Mumbai,Restaurants,Visa,230.0,Biometric,0.4326,1,12,30,9,5,0.0,0.23771463930284123
ATM Withdrawal,33981.81,Tablet,Mumbai,Clothing,Discover,61.0,OTP,0.1634,1,7,23,14,6,1.0,0.04951824817518249
Online,81302.95,Mobile,New York,Travel,Discover,127.0,Biometric,0.3775,0,4,20,7,3,0.375,0.1718582169709989
POS,62122.2,Laptop,New York,Restaurants,Visa,129.0,OTP,0.9601,1,4,9,10,6,0.375,0.7055170334639735
Bank Transfer,35482.02,Laptop,Tokyo,Electronics,Mastercard,185.0,Biometric,0.1441,1,9,10,11,6,1.3333333333333333,0.00605887247763678
POS,59126.8,Mobile,Mumbai,Clothing,Mastercard,8.0,Password,0.5683,0,7,26,17,2,0.2857142857142857,0.4052875695732838
Bank Transfer,60791.91,Mobile,London,Electronics,Mastercard,13.0,Biometric,0.2298,0,7,4,16,1,0.3333333333333333,0.1614705163565269
Online,63706.51,Tablet,Mumbai,Restaurants,Amex,215.0,PIN,0.1509,1,5,13,5,5,3.0,0.22510894672921677
Bank Transfer,22583.53,Mobile,Mumbai,Clothing,Mastercard,60.0,Biometric,0.9165,0,2,24,19,4,0.4,0.0423010301759504
Bank Transfer,79812.88,Mobile,Tokyo,Travel,Amex,92.0,OTP,0.3742,1,4,2,5,6,1.0,0.09704785894206548
POS,53045.58,Laptop,Mumbai,Groceries,Mastercard,230.0,Biometric,0.215,1,4,16,2,6,0.3076923076923077,0.022925112670549256
Bank Transfer,73225.89,Tablet,New York,Groceries,Discover,102.0,Biometric,0.4501,1,8,26,7,5,0.0,0.5226330154904115
Online,49030.87,Mobile,Mumbai,Clothing,Discover,9.0,Password,0.5115,0,7,14,8,4,2.0,0.7315661182205973
POS,88290.26,Laptop,Mumbai,Clothing,Visa,189.0,PIN,0.8534,0,8,29,4,1,2.0,0.6930535966149507
Bank Transfer,23987.43,Laptop,Mumbai,Travel,Visa,44.0,PIN,0.2439,0,1,4,5,2,0.3333333333333333,0.555467346341871
Bank Transfer,81839.91,Tablet,Mumbai,Groceries,Amex,13.0,PIN,0.8117,0,7,3,14,0,0.0,0.5309571410720979
POS,94146.16,Laptop,Sydney,Restaurants,Amex,181.0,Password,0.1309,0,10,31,3,1,0.6,0.7696608274319792
Online,62354.09,Laptop,New York,Groceries,Discover,46.0,Biometric,0.1017,0,10,31,18,1,0.08333333333333333,3.5072614107883817
Online,63431.74,Mobile,Mumbai,Travel,Discover,203.0,PIN,0.4536,0,5,23,14,1,0.36363636363636365,0.03989487900135051
POS,18824.93,Tablet,London,Travel,Mastercard,7.0,Biometric,0.7838,0,11,15,18,2,0.21428571428571427,0.050725841278277915
Online,85058.49,Mobile,Sydney,Groceries,Visa,179.0,OTP,0.1176,0,5,23,16,1,1.5,0.10981137593215382
POS,12427.18,Laptop,London,Travel,Visa,2.0,PIN,0.364,0,3,22,18,2,0.2727272727272727,0.0038707756438886407
ATM Withdrawal,30176.36,Tablet,Tokyo,Clothing,Amex,81.0,Password,0.4472,1,9,24,5,6,0.16666666666666666,0.2867341335216129
Bank Transfer,4119.92,Laptop,New York,Clothing,Discover,201.0,Biometric,0.0921,0,8,4,7,4,0.18181818181818182,0.681456953642384
Bank Transfer,58109.66,Laptop,London,Groceries,Visa,177.0,Biometric,0.6318,0,11,23,10,3,4.0,0.28147822963642893
ATM Withdrawal,22809.13,Tablet,London,Groceries,Visa,103.0,OTP,0.133,0,1,27,10,4,0.16666666666666666,0.22489302793858545
Online,61273.94,Laptop,New York,Travel,Discover,227.0,Password,0.3452,0,2,17,8,4,0.5714285714285714,0.03449432280937096
POS,79330.42,Laptop,Tokyo,Travel,Discover,185.0,PIN,0.0975,0,4,21,6,4,0.0,2.9785220240262102
ATM Withdrawal,41147.4,Laptop,Mumbai,Restaurants,Visa,47.0,PIN,0.497,1,9,3,1,6,0.3,4.205797101449275
Online,95532.41,Laptop,New York,Groceries,Mastercard,234.0,Password,0.7762,0,12,11,22,0,0.42857142857142855,0.8520652596141396
Online,40998.73,Tablet,London,Clothing,Visa,47.0,OTP,0.3151,0,3,24,20,4,0.36363636363636365,0.3586156780815696
ATM Withdrawal,16851.31,Mobile,Tokyo,Electronics,Discover,57.0,PIN,0.7335,1,5,6,2,5,1.0,0.4321145487087701
ATM Withdrawal,24143.6,Tablet,New York,Electronics,Mastercard,198.0,PIN,0.1215,0,6,6,20,1,1.5,1.4224348827169377
Bank Transfer,69439.18,Laptop,New York,Groceries,Visa,150.0,Biometric,0.5538,0,4,6,7,3,0.25,14.935681470137824
Bank Transfer,10371.2,Mobile,New York,Groceries,Visa,101.0,Password,0.8586,1,10,7,0,5,0.0,0.3124556793058858
Bank Transfer,68633.36,Mobile,London,Electronics,Amex,73.0,Biometric,0.9898,1,7,23,22,6,0.0,0.18808985776950685
Online,48184.93,Tablet,London,Groceries,Amex,127.0,Password,0.1596,1,8,6,15,6,0.14285714285714285,0.2873987663127858
POS,12501.26,Tablet,Sydney,Restaurants,Mastercard,214.0,Biometric,0.2077,0,11,30,16,3,1.0,2.464426506476441
ATM Withdrawal,88944.0,Tablet,Tokyo,Electronics,Discover,179.0,Biometric,0.058,0,12,22,19,4,0.0,0.8146513680494263
Online,78308.54,Laptop,New York,Groceries,Mastercard,154.0,OTP,0.622,0,7,4,1,1,0.3333333333333333,0.43240597395501323
POS,55729.89,Laptop,Tokyo,Travel,Discover,174.0,Biometric,0.3207,1,9,17,13,6,0.5714285714285714,0.4904112893498975
POS,38186.49,Mobile,Sydney,Groceries,Mastercard,180.0,Biometric,0.4367,1,6,10,17,5,0.1,0.01675461741424802
ATM Withdrawal,16002.61,Tablet,London,Travel,Mastercard,138.0,PIN,0.8008,0,10,17,15,1,0.16666666666666666,0.4645275990518117
Online,53289.96,Laptop,London,Clothing,Mastercard,149.0,OTP,0.5828,0,6,23,1,4,0.2,0.22886944528253095
Online,71870.0,Mobile,Sydney,Clothing,Mastercard,169.0,PIN,0.9276,1,4,23,3,6,0.16666666666666666,0.28455001931247587
